Edge - Vertices 	 	Weight
3647 - 1	 	 	46
1292 - 2	 	 	2
1768 - 3	 	 	6
3891 - 4	 	 	57
2945 - 5	 	 	18
3392 - 6	 	 	40
3668 - 7	 	 	22
2986 - 8	 	 	4
1521 - 9	 	 	11
2165 - 10	 	 	14
2958 - 11	 	 	15
3630 - 12	 	 	1
4711 - 13	 	 	1
4994 - 14	 	 	11
2378 - 15	 	 	30
4499 - 16	 	 	24
2938 - 17	 	 	3
1044 - 18	 	 	9
4119 - 19	 	 	19
4837 - 20	 	 	30
608 - 21	 	 	10
2026 - 22	 	 	21
1982 - 23	 	 	23
2393 - 24	 	 	19
2951 - 25	 	 	18
4967 - 26	 	 	24
2997 - 27	 	 	29
2110 - 28	 	 	32
4371 - 29	 	 	18
2369 - 30	 	 	15
425 - 31	 	 	24
3768 - 32	 	 	14
223 - 33	 	 	38
2343 - 34	 	 	26
2954 - 35	 	 	47
954 - 36	 	 	21
3751 - 37	 	 	21
4758 - 38	 	 	21
310 - 39	 	 	31
3605 - 40	 	 	7
2156 - 41	 	 	7
2348 - 42	 	 	16
918 - 43	 	 	1
1664 - 44	 	 	4
3561 - 45	 	 	9
2516 - 46	 	 	16
1297 - 47	 	 	13
4214 - 48	 	 	31
1597 - 49	 	 	16
525 - 50	 	 	10
2538 - 51	 	 	2
3828 - 52	 	 	52
304 - 53	 	 	18
3487 - 54	 	 	30
3987 - 55	 	 	3
2836 - 56	 	 	26
3760 - 57	 	 	18
4967 - 58	 	 	21
263 - 59	 	 	24
3026 - 60	 	 	1
2800 - 61	 	 	50
4121 - 62	 	 	9
3786 - 63	 	 	9
2955 - 64	 	 	9
3430 - 65	 	 	14
832 - 66	 	 	14
3543 - 67	 	 	12
2907 - 68	 	 	24
1505 - 69	 	 	13
2363 - 70	 	 	16
3343 - 71	 	 	17
2491 - 72	 	 	8
29 - 73	 	 	1
3431 - 74	 	 	12
4959 - 75	 	 	18
1165 - 76	 	 	48
78 - 77	 	 	15
1268 - 78	 	 	14
2970 - 79	 	 	1
1165 - 80	 	 	5
4666 - 81	 	 	33
2422 - 82	 	 	1
1902 - 83	 	 	13
4812 - 84	 	 	9
4425 - 85	 	 	23
3339 - 86	 	 	16
4704 - 87	 	 	5
968 - 88	 	 	17
2452 - 89	 	 	8
394 - 90	 	 	4
3017 - 91	 	 	16
4144 - 92	 	 	5
497 - 93	 	 	39
1641 - 94	 	 	60
3785 - 95	 	 	4
2647 - 96	 	 	8
4112 - 97	 	 	27
3198 - 98	 	 	29
792 - 99	 	 	5
2491 - 100	 	 	10
4645 - 101	 	 	19
619 - 102	 	 	10
2173 - 103	 	 	18
1790 - 104	 	 	27
1331 - 105	 	 	16
2588 - 106	 	 	7
1397 - 107	 	 	20
753 - 108	 	 	22
3405 - 109	 	 	1
1051 - 110	 	 	35
3347 - 111	 	 	2
893 - 112	 	 	2
3188 - 113	 	 	28
1254 - 114	 	 	2
1094 - 115	 	 	17
3844 - 116	 	 	29
2708 - 117	 	 	2
2466 - 118	 	 	36
413 - 119	 	 	28
2760 - 120	 	 	31
3818 - 121	 	 	9
3578 - 122	 	 	12
1371 - 123	 	 	16
4619 - 124	 	 	16
3839 - 125	 	 	4
2326 - 126	 	 	5
903 - 127	 	 	8
957 - 128	 	 	10
3897 - 129	 	 	27
3520 - 130	 	 	21
2613 - 131	 	 	10
1126 - 132	 	 	21
3397 - 133	 	 	47
2216 - 134	 	 	39
3859 - 135	 	 	17
105 - 136	 	 	17
1416 - 137	 	 	3
54 - 138	 	 	21
362 - 139	 	 	22
4029 - 140	 	 	12
556 - 141	 	 	25
2312 - 142	 	 	8
3224 - 143	 	 	17
2729 - 144	 	 	11
4376 - 145	 	 	11
4536 - 146	 	 	32
1184 - 147	 	 	21
703 - 148	 	 	3
376 - 149	 	 	16
2555 - 150	 	 	21
2751 - 151	 	 	27
350 - 152	 	 	1
1811 - 153	 	 	15
2201 - 154	 	 	19
2727 - 155	 	 	17
1101 - 156	 	 	5
3578 - 157	 	 	31
2782 - 158	 	 	20
1618 - 159	 	 	8
4454 - 160	 	 	18
1733 - 161	 	 	2
3517 - 162	 	 	21
3704 - 163	 	 	7
3727 - 164	 	 	22
3831 - 165	 	 	20
674 - 166	 	 	12
529 - 167	 	 	11
4047 - 168	 	 	21
496 - 169	 	 	2
1810 - 170	 	 	10
4166 - 171	 	 	18
3480 - 172	 	 	5
3739 - 173	 	 	10
1931 - 174	 	 	15
2229 - 175	 	 	10
241 - 176	 	 	19
3789 - 177	 	 	7
4715 - 178	 	 	2
1872 - 179	 	 	24
1672 - 180	 	 	8
3486 - 181	 	 	14
1420 - 182	 	 	14
1627 - 183	 	 	18
871 - 184	 	 	67
731 - 185	 	 	15
3918 - 186	 	 	2
3329 - 187	 	 	8
2398 - 188	 	 	9
2971 - 189	 	 	16
4612 - 190	 	 	24
4103 - 191	 	 	1
2235 - 192	 	 	21
3212 - 193	 	 	12
265 - 194	 	 	13
653 - 195	 	 	31
1367 - 196	 	 	15
2446 - 197	 	 	23
2959 - 198	 	 	4
4483 - 199	 	 	24
1721 - 200	 	 	1
4989 - 201	 	 	48
4260 - 202	 	 	14
4175 - 203	 	 	23
3663 - 204	 	 	24
4247 - 205	 	 	21
3497 - 206	 	 	15
1237 - 207	 	 	19
4840 - 208	 	 	3
434 - 209	 	 	7
3993 - 210	 	 	2
1435 - 211	 	 	18
2483 - 212	 	 	7
4056 - 213	 	 	1
2895 - 214	 	 	31
1740 - 215	 	 	5
3354 - 216	 	 	10
1952 - 217	 	 	3
276 - 218	 	 	11
3655 - 219	 	 	23
527 - 220	 	 	23
4225 - 221	 	 	11
2618 - 222	 	 	52
4052 - 223	 	 	22
1191 - 224	 	 	3
2959 - 225	 	 	20
2563 - 226	 	 	17
1963 - 227	 	 	14
643 - 228	 	 	10
2133 - 229	 	 	11
2074 - 230	 	 	15
4429 - 231	 	 	5
2397 - 232	 	 	68
1880 - 233	 	 	6
2059 - 234	 	 	26
1037 - 235	 	 	31
4766 - 236	 	 	28
4078 - 237	 	 	22
1151 - 238	 	 	5
2271 - 239	 	 	17
1688 - 240	 	 	15
4520 - 241	 	 	23
2508 - 242	 	 	10
2984 - 243	 	 	4
188 - 244	 	 	11
4707 - 245	 	 	21
3025 - 246	 	 	14
1414 - 247	 	 	9
440 - 248	 	 	8
3995 - 249	 	 	8
1476 - 250	 	 	13
3699 - 251	 	 	6
1023 - 252	 	 	32
1297 - 253	 	 	9
4251 - 254	 	 	19
2619 - 255	 	 	2
1678 - 256	 	 	3
3767 - 257	 	 	39
2857 - 258	 	 	14
4834 - 259	 	 	41
4773 - 260	 	 	4
4144 - 261	 	 	14
2427 - 262	 	 	6
4229 - 263	 	 	5
1621 - 264	 	 	25
4989 - 265	 	 	11
3716 - 266	 	 	14
3701 - 267	 	 	3
2383 - 268	 	 	13
3500 - 269	 	 	4
3222 - 270	 	 	22
4821 - 271	 	 	8
4181 - 272	 	 	5
4837 - 273	 	 	1
128 - 274	 	 	8
618 - 275	 	 	9
2528 - 276	 	 	16
1146 - 277	 	 	19
2979 - 278	 	 	16
10 - 279	 	 	13
